Field1,Field2_text,Field2_links,Field3,Field4,Field5
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$16,050,414,525.76",$998.33
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$715,049,311.31",$8.17
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$231,408,729.09",$0.01
4,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$221,718,485.96",$4.51
5,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$190,983,552.40",$13.97
6,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$122,202,803.82",$1.40
7,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$78,524,019.74",$11.23
8,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$43,994,859.70",$4.00
9,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"$43,862,002.88",$0.10
10,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$36,999,609.61",$0.16
11,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$30,962,257.88",$0.00
12,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,"$26,381,301.91",$0.30
13,Factom,https://coinmarketcap.com/currencies/factom/,FCT,"$25,392,986.26",$2.90
14,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$24,501,946.09",$0.00
15,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$22,132,165.73",$0.22
16,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,"$18,079,172.13",$9.04
17,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,"$17,173,253.18",$0.00
18,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$16,958,473.74",$48.47
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$15,220,159.16",$0.15
20,GameCredits,https://coinmarketcap.com/currencies/gamecredits/,GAME,"$13,091,197.05",$0.22
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$15,962,016,426.57",$989.02
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$949,491,676.88",$10.73
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$241,024,521.44",$0.01
4,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$202,156,160.68",$4.08
5,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$183,950,875.12",$13.27
6,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$119,939,485.14",$1.36
7,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$113,285,564.74",$16.03
8,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"$62,133,126.20",$0.14
9,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$49,384,258.22",$0.01
10,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$46,361,513.61",$4.21
11,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$37,849,169.04",$0.16
12,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,"$36,797,707.83",$0.42
13,Factom,https://coinmarketcap.com/currencies/factom/,FCT,"$30,034,859.18",$3.43
14,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$24,951,574.47",$1
15,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$23,441,059.89",$0.23
16,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$22,797,879.10",$39.89
17,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$22,608,233.66",$0.00
18,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,"$21,877,876.56",$0.03
19,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,"$20,144,321.44",$10.07
20,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,"$18,437,446.20",$0.02
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$19,794,457,630.96","$1,222.50"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$1,550,250,073.37",$17.35
3,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$303,396,704.23",$42.54
4,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$200,868,988.35",$0.01
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$189,965,666.44",$3.80
6,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$173,097,909.95",$12.33
7,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$125,036,646.66",$1.40
8,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"$75,925,789.62",$0.17
9,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$70,649,879.98",$0.01
10,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$56,161,834.72",$5.11
11,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,"$31,975,353.84",$41.41
12,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,"$30,261,074.96",$0.35
13,Factom,https://coinmarketcap.com/currencies/factom/,FCT,"$28,021,516.38",$3.20
14,Tether,https://coinmarketcap.com/currencies/tether/,USDT,"$24,950,952.80",$1
15,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"$23,147,602.73",$0.10
16,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,"$21,972,155.31",$0.00
17,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,"$19,649,057.39",$9.82
18,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,"$19,616,737.96",$0.20
19,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,"$18,955,509.48",$0.02
20,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,"$14,390,456.56",$0.01
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$17,557,663,174.24","$1,080.50"
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$4,579,184,584.03",$50.70
3,XRP,https://coinmarketcap.com/currencies/xrp/,XRP,"$818,501,579.40",$0.02
4,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$493,920,371.08",$68.60
5,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,"$347,247,996.30",$6.88
6,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$305,662,364.17",$21.49
7,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$248,781,282.76",$2.76
8,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$158,691,521.72",$0.02
9,Augur,https://coinmarketcap.com/currencies/augur/,REP,"$138,690,473.56",$12.61
10,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"$79,500,231.94",$0.18
